Year,1,2,3,4,5,6,7,8,9,10,11,12
1,29,29,29,30,29,30,30,29,30,30,29,30
2,29,30,29,30,29,30,29,30,29,30,29,30
3,29,30,30,29,30,29,30,29,30,29,29,30
4,29,30,30,30,29,30,29,30,29,29,30,29
5,30,29,30,30,30,29,30,29,30,29,30,29
6,29,29,30,30,30,30,29,30,29,30,29,29
7,30,29,29,30,30,30,29,30,30,29,30,29
8,29,30,29,30,29,30,29,30,30,29,30,30
9,29,29,30,29,30,29,30,29,30,29,30,30
10,29,30,29,30,30,29,29,30,29,30,29,30
11,29,30,30,29,30,30,29,29,30,29,29,30
12,30,29,30,30,29,30,30,29,29,30,29,29
13,30,29,30,30,29,30,30,29,30,29,30,29
14,30,29,29,30,30,29,30,30,29,30,29,30
15,29,30,29,29,30,29,30,29,30,30,29,30
16,30,29,30,29,29,30,29,30,29,30,29,30
17,30,30,29,30,29,29,30,29,29,30,29,30
18,30,30,30,29,30,29,29,30,29,29,30,29
19,30,30,30,29,30,29,30,29,29,30,29,30
20,29,30,30,29,30,30,29,30,29,29,30,29
21,30,29,30,29,30,30,29,30,29,30,30,29
22,30,29,29,30,29,30,29,30,29,30,30,30
23,29,30,29,29,30,29,29,30,29,30,30,30
24,30,29,30,29,30,29,29,29,30,29,30,30
25,30,30,29,30,29,30,29,29,29,30,29,30
26,30,30,29,30,30,29,29,30,29,29,30,30
27,29,30,29,30,30,29,30,29,30,29,30,29
28,30,29,29,30,30,29,30,30,29,30,29,30
29,29,30,29,29,30,29,30,30,29,30,30,29
30,30,29,30,29,29,30,29,30,29,30,30,30
31,29,30,29,30,29,29,30,29,30,29,30,30
32,29,30,30,29,30,29,29,30,29,30,29,30
33,29,30,30,29,30,30,29,30,29,29,30,29
34,30,29,30,29,30,30,30,29,30,29,29,30
35,29,30,29,29,30,30,30,29,30,29,30,29
36,30,29,29,30,29,30,30,29,30,30,29,30
37,29,30,29,29,30,29,30,29,30,30,30,29
38,30,29,30,29,29,30,29,30,29,30,30,29
39,30,29,30,29,30,29,30,29,30,29,30,29
40,30,29,30,30,29,30,29,30,29,30,29,30
41,29,29,30,30,29,30,30,30,29,29,30,29
42,29,30,29,30,29,30,30,30,30,29,29,30
43,29,29,30,29,30,29,30,30,30,29,30,29
44,30,29,29,30,29,30,29,30,30,30,29,30
45,29,30,29,29,30,29,30,29,30,30,29,30
46,30,29,30,29,29,30,30,29,29,30,29,30
47,30,29,30,29,30,30,29,30,29,29,30,29
48,30,29,30,29,30,30,30,29,30,29,29,30
49,29,30,29,30,29,30,30,30,29,30,29,29
50,30,29,29,30,29,30,30,30,29,30,29,30
51,29,30,29,29,30,29,30,30,29,30,30,29
52,30,29,30,29,29,30,30,29,30,29,30,29
53,30,30,29,30,29,30,29,30,29,29,30,29
54,30,30,30,29,30,29,30,29,29,30,29,29
55,30,30,30,29,30,30,29,30,29,29,30,29
56,29,30,30,29,30,30,30,29,30,29,29,30
57,29,30,29,30,29,30,30,29,30,29,30,29
58,30,29,30,29,30,29,30,29,30,29,30,30
59,29,30,29,30,29,29,30,29,30,29,30,30
60,30,29,30,29,30,29,29,30,29,29,30,30
61,30,30,29,30,29,30,29,29,30,29,29,30
62,30,30,29,30,30,29,30,29,29,30,29,29
63,30,30,29,30,30,30,29,30,29,29,30,29
64,30,29,30,29,30,30,29,30,29,30,29,30
65,29,30,29,30,29,30,29,30,30,29,30,29
66,30,30,29,29,30,29,30,29,30,29,30,30
67,29,30,30,29,29,30,29,30,29,29,30,30
68,30,29,30,30,29,29,30,29,29,30,29,30
69,30,29,30,30,29,30,29,30,29,29,30,29
70,30,29,30,30,29,30,30,29,30,29,29,30
71,29,30,29,30,29,30,30,30,29,30,29,30
72,29,29,30,29,30,29,30,30,29,30,30,29
73,30,29,29,30,29,29,30,30,29,30,30,29
74,30,30,29,29,30,29,29,30,29,30,30,29
75,30,30,29,30,29,30,29,29,30,29,30,30
76,29,30,30,29,30,29,30,29,30,29,29,30
77,29,30,30,29,30,29,30,30,29,30,29,29
78,30,29,30,29,30,29,30,30,30,29,30,29
79,29,30,29,29,30,29,30,30,30,30,29,30
80,29,29,30,29,29,30,29,30,30,30,29,30
81,30,29,29,30,29,29,30,29,30,30,29,30
82,30,29,30,29,30,29,29,30,30,29,30,29
83,30,30,29,30,29,30,29,30,29,30,29,29
84,30,30,29,30,29,30,30,29,30,29,30,29
85,29,30,29,30,29,30,30,30,29,30,29,30
86,29,29,30,29,30,29,30,30,30,29,30,29
87,30,29,29,30,29,29,30,30,30,29,30,30
88,29,30,29,29,30,29,29,30,30,29,30,30
89,29,30,30,29,29,30,29,30,29,30,29,30
90,29,30,30,30,29,29,30,29,30,29,30,29
91,29,30,30,30,29,30,29,30,29,30,29,29
92,30,29,30,30,29,30,30,29,30,29,30,29
93,29,30,29,30,29,30,30,29,30,30,29,30
94,29,29,30,29,30,29,30,29,30,30,29,30
95,29,30,29,30,29,30,29,30,29,30,29,30
96,30,29,30,30,29,29,30,29,30,29,29,30
97,30,29,30,30,30,29,29,30,29,29,30,29
98,30,29,30,30,30,30,29,29,30,29,29,30
99,29,30,29,30,30,30,29,30,29,30,29,29
100,30,29,30,29,30,30,29,30,30,29,30,29
101,29,30,29,30,29,30,29,30,30,29,30,29
102,30,29,30,30,29,29,30,29,30,29,30,30
103,29,30,30,29,30,29,29,30,29,30,29,30
104,29,30,30,30,29,30,29,29,30,29,29,30
105,29,30,30,30,30,29,30,29,29,30,29,29
106,30,29,30,30,30,29,30,30,29,29,30,29
107,29,30,30,29,30,29,30,30,29,30,29,30
108,29,29,30,30,29,30,29,30,29,30,30,29
109,30,29,30,29,30,29,29,30,29,30,30,30
110,29,30,29,30,29,29,30,29,30,29,30,30
111,29,30,30,29,30,29,29,30,29,30,29,30
112,29,30,30,30,29,30,29,29,30,29,30,29
113,30,29,30,30,29,30,29,30,29,30,29,30
114,29,30,29,30,29,30,29,30,30,29,30,29
115,30,29,29,30,29,30,29,30,30,30,29,30
116,29,30,29,29,30,29,29,30,30,30,29,30
117,30,29,30,29,29,30,29,29,30,30,29,30
118,30,30,29,30,29,29,30,29,29,30,30,29
119,30,30,29,30,30,29,29,30,29,30,29,30
120,29,30,29,30,30,29,30,29,30,29,30,29
121,30,29,30,29,30,29,30,29,30,30,30,29
122,29,30,29,30,29,29,30,30,29,30,30,30
123,29,29,30,29,29,30,29,30,29,30,30,30
124,29,30,29,30,29,29,30,29,30,30,29,30
125,30,29,30,29,30,29,29,30,29,30,29,30
126,30,29,30,30,29,30,29,29,30,29,30,29
127,30,29,30,30,30,29,30,29,30,29,30,29
128,29,30,29,30,30,29,30,29,30,30,29,30
129,29,29,29,30,30,29,30,30,29,30,30,29
130,29,30,29,29,30,30,29,30,29,30,30,29
131,30,29,30,29,30,29,29,30,29,30,30,30
132,29,30,29,30,29,30,29,29,30,29,30,30
133,29,30,29,30,30,29,30,29,29,30,29,30
134,29,30,29,30,30,30,29,30,29,29,30,29
135,29,30,29,30,30,30,30,29,30,29,29,30
136,29,29,30,29,30,30,30,29,30,30,29,29
137,30,29,29,30,29,30,30,29,30,30,29,30
138,29,30,29,29,30,30,29,29,30,30,29,30
139,29,30,29,30,30,29,30,29,29,30,29,30
140,29,30,30,30,29,30,29,30,29,29,30,29
141,30,29,30,30,30,29,30,29,30,29,29,30
142,29,29,30,30,30,30,29,30,29,30,29,29
143,30,29,29,30,30,30,29,30,30,29,30,29
144,29,30,29,29,30,30,29,30,30,29,30,30
145,29,29,30,29,30,29,30,29,30,29,30,30
146,29,30,29,30,29,30,29,30,29,29,30,30
147,30,29,30,29,30,30,29,29,29,30,29,30
148,30,29,30,30,29,30,29,30,29,29,30,29
149,30,29,30,30,29,30,30,29,30,29,29,30
150,29,30,29,30,29,30,30,29,30,29,30,30
151,29,29,30,29,30,29,30,29,30,30,29,30
152,30,29,29,30,29,30,29,29,30,30,29,30
153,30,30,29,29,30,29,29,30,29,30,29,30
154,30,30,30,29,29,30,29,29,30,29,30,29
155,30,30,30,29,30,29,30,29,29,30,29,30
156,29,30,30,29,30,30,29,29,30,29,30,29
157,30,29,30,29,30,30,29,30,29,30,29,30
158,30,29,29,30,29,30,29,30,29,30,30,30
159,29,30,29,29,30,29,29,30,29,30,30,30
160,30,29,30,29,29,30,29,29,30,29,30,30
161,30,30,29,30,29,29,30,29,29,30,29,30
162,30,30,29,30,30,29,29,30,29,29,30,30
163,29,30,29,30,30,29,30,29,30,29,30,29
164,30,29,29,30,30,29,30,30,29,30,29,30
165,29,30,29,29,30,29,30,30,29,30,30,29
166,30,29,29,30,29,30,29,30,29,30,30,30
167,29,30,29,29,30,29,30,29,30,29,30,30
168,29,30,30,29,29,30,29,30,29,29,30,30
169,29,30,30,29,30,29,30,29,30,29,29,30
170,30,29,30,29,30,30,29,30,29,30,29,30
171,29,29,30,29,30,30,30,29,30,29,30,29
172,30,29,29,29,30,30,30,29,30,30,29,30
173,29,29,30,29,29,30,30,29,30,30,30,29
174,30,29,29,30,29,29,30,30,29,30,30,29
175,30,29,30,29,30,29,30,29,30,29,30,29
176,30,29,30,30,29,30,29,30,29,30,29,30
177,29,29,30,30,29,30,30,30,29,29,30,29
178,29,30,29,30,29,30,30,30,30,29,29,30
179,29,29,30,29,30,29,30,30,30,29,30,29
180,30,29,29,29,30,30,29,30,30,30,29,30
181,29,30,29,29,30,29,30,29,30,30,29,30
182,30,29,30,29,29,30,29,30,29,30,29,30
183,30,29,30,29,30,30,29,30,29,29,30,29
184,30,29,30,30,29,30,30,29,30,29,29,30
185,29,30,29,30,29,30,30,30,29,29,30,29
186,30,29,29,30,29,30,30,30,29,30,29,30
187,29,30,29,29,30,29,30,30,29,30,30,29
188,30,29,30,29,29,30,29,30,29,30,30,29
189,30,30,29,30,29,29,30,29,30,29,30,29
190,30,30,30,29,30,29,30,29,29,29,30,29
191,30,30,30,30,29,30,29,30,29,29,29,30
192,29,30,30,30,29,30,30,29,29,30,29,29
193,30,29,30,30,29,30,30,29,30,29,30,29
194,30,29,30,29,29,30,30,29,30,29,30,29
195,30,30,29,30,29,29,30,29,30,29,30,30
196,30,29,30,29,30,29,29,30,29,29,30,30
197,30,30,29,30,29,30,29,29,30,29,29,30
198,30,30,29,30,30,29,30,29,29,29,30,29
199,30,30,30,29,30,30,29,30,29,29,29,30
200,30,29,30,29,30,30,29,30,29,30,29,30
201,29,30,29,30,29,30,29,30,30,29,30,29
202,30,30,29,29,29,30,29,30,30,29,30,30
203,29,30,30,29,29,29,30,29,30,29,30,30
204,30,29,30,29,30,29,30,29,29,30,29,30
205,30,29,30,30,29,30,29,30,29,29,30,29
206,30,29,30,30,29,30,30,29,30,29,29,30
207,29,30,29,30,29,30,30,29,30,30,29,29
208,30,29,30,29,29,30,30,29,30,30,30,29
209,29,30,29,30,29,29,30,29,30,30,30,29
210,30,29,30,29,29,30,29,30,29,30,30,30
211,29,30,29,30,29,29,30,29,30,29,30,30
212,29,30,30,29,29,30,29,30,29,30,29,30
213,29,30,29,30,30,29,30,29,30,30,29,29
214,30,29,30,29,30,29,30,30,30,29,30,29
215,29,30,29,29,30,29,30,30,30,30,29,30
216,29,29,30,29,29,30,29,30,30,30,29,30
217,30,29,29,30,29,29,30,29,30,30,29,30
218,30,29,30,29,30,29,29,30,30,29,30,29
219,30,30,29,30,29,29,30,30,29,30,29,29
220,30,30,29,30,29,30,30,29,30,29,30,29
221,29,30,29,30,29,30,30,30,29,30,29,29
222,30,29,30,29,30,29,30,30,30,29,30,29
223,29,30,29,30,29,29,30,30,30,29,30,30
224,29,30,29,29,30,29,29,30,30,29,30,30
225,29,30,30,29,29,30,29,30,29,30,29,30
226,29,30,30,30,29,29,30,29,30,29,29,30
227,29,30,30,30,29,30,29,30,29,30,29,29
228,29,30,30,30,29,30,30,29,30,29,30,29
229,29,29,30,30,29,30,30,30,29,30,29,29
230,30,29,30,29,30,29,30,29,30,30,29,30
231,29,30,29,30,29,30,29,30,29,30,29,30
232,30,29,30,29,30,29,30,29,29,30,29,30
233,30,29,30,30,30,29,29,30,29,29,30,29
234,30,29,30,30,30,29,30,29,30,29,29,29
235,30,29,30,30,30,30,29,30,29,30,29,29
236,29,30,30,29,30,30,29,30,30,29,30,29
237,29,30,29,30,29,30,29,30,30,30,29,29
238,30,29,30,29,30,29,30,29,30,30,29,30
239,29,30,30,29,30,29,29,30,29,30,29,30
240,29,30,30,30,29,30,29,29,30,29,29,30
241,29,30,30,30,30,29,29,30,29,30,29,29
242,30,29,30,30,30,29,30,29,30,29,30,29
243,29,30,29,30,30,29,30,30,29,30,29,30
244,29,29,30,29,30,29,30,30,29,30,30,29
245,30,29,30,29,29,30,29,30,29,30,30,30
246,29,30,29,30,29,29,29,30,29,30,30,30
247,29,30,30,29,30,29,29,29,30,29,30,30
248,29,30,30,29,30,29,30,29,29,30,29,30
249,30,29,30,30,29,30,29,30,29,30,29,30
250,29,29,30,29,30,30,29,30,30,29,30,29
251,30,29,29,30,29,30,29,30,30,30,29,30
252,29,30,29,29,30,29,29,30,30,30,29,30
253,30,29,30,29,29,29,30,29,30,30,30,29
254,30,30,29,30,29,29,29,30,29,30,30,29
255,30,30,29,30,30,29,29,29,30,30,29,30
256,29,30,29,30,30,29,30,29,30,29,30,29
257,30,29,30,29,30,29,30,30,29,30,30,29
258,29,29,30,29,30,29,30,30,30,29,30,30
259,29,29,30,29,29,30,29,30,30,29,30,30
260,29,30,29,30,29,29,30,29,30,30,29,30
261,30,29,30,29,30,29,29,30,29,30,29,30
262,30,29,30,30,29,30,29,29,30,29,30,29
263,30,29,30,30,30,29,30,29,29,30,29,30
264,29,29,30,30,30,29,30,29,30,30,29,29
265,30,29,29,30,30,29,30,30,29,30,30,29
266,29,29,30,29,30,29,30,30,29,30,30,29
267,30,29,29,30,29,30,29,30,29,30,30,29
268,30,29,30,29,30,29,30,29,30,29,30,29
269,30,30,29,30,30,29,30,29,29,30,29,30
270,29,29,30,30,30,30,29,30,29,29,30,29
271,29,30,29,30,30,30,30,29,30,29,29,30
272,29,29,30,29,30,30,30,29,30,30,29,29
273,29,30,29,30,29,30,30,29,30,30,29,30
